Nama_Pangan,air(g),Energi(Kal),Protein(g),Lemak(g),Karbohidrat(g),Kalsium(mg),Fosfor(mg),Vit_B1(mg),Vit_B2(mg),Vit_C(mg)
"Sereal siap saji, Mills Umum, Honey Kix","2,37",364,"6,40","3,90","83,00",455,182,2.290,2.290,"27,3"
"Sereal siap saji, Mills Umum, Graham Emas","2,20",374,"5,30","3,20","85,10",323,129,1.200,1.400,"19,4"
"Sereal siap saji, Mills Umum, Fruity Cheerios","2,20",381,"5,80","4,59","84,19",370,222,1.390,1.600,"55,6"
"Sereal siap saji, Mills Umum, Frankenberry","1,89",386,"5,50","4,30","85,40",303,182,1.100,1.290,"18,2"
"Sereal siap saji, Mills Umum, Dulce De Leche Cheerios","2,20",378,"6,50","5,69","82,00",370,222,1.390,1.600,"55,6"
"Sereal siap saji, Mills Umum, Dora Penjelasan","2,30",366,"5,60","5,70","82,80",370,74,1.400,1.600,"22,2"
"Sereal siap saji, Mills Umum, Dasar 4","6,25",358,"6,69","4,00","79,09",455,182,"0,690","0,800","0,3"
Wasabi,"31,70",292,"2,23","10,90","46,13",41,26,"0,050","0,070",0
Tomat Panen Homestyle Campbell dengan Sup Basil,"87,90",45,"0,82","0,41","9,39",8,0,0,0,"7,3"
"Swanson Broth, Kaldu Sayuran Organik Bersertifikat","98,20",5,0,0,"1,28",0,0,0,0,0
"Sup, tomat, natrium rendah, dengan air","91,38",30,"0,79","0,28","6,57",8,14,"0,019","0,031","6,3"
"Sup, tomat, kalengan, kental","80,79",66,"1,46","0,44","15,22",13,31,"0,042","0,015","12,9"
"Sup, tomat, kalengan, disiapkan dengan volume air yang sama, komersial","90,55",32,"0,71","0,21","7,45",8,15,"0,020","0,007","6,3"
"Sup, Tomat, Kalengan, Disiapkan dengan Susu Rendah Lemak dengan Volume yang Sama (2%)","85,15",55,"2,42","1,24","9,82",68,63,"0,041","0,103","6,3"
"Sup, tomat, kaleng, kental, natrium berkurang","82,50",65,"1,61","0,56","13,41",13,29,"0,039","0,063","12,9"
"Sup, tomat, dikeringkan, campur, disiapkan dengan air","89,88",38,"0,93","0,61","7,17",29,33,"0,105","0,175","2,0"
"Sup, tomat bisque, kalengan, kental","75,32",96,"1,76","1,95","18,47",31,47,"0,051","0,055","4,6"
"Sup, Tomat Bisque, Kalengan, Disiapkan dengan Susu Volume yang Sama","81,51",79,"2,51","2,63","11,73",74,69,"0,045","0,107","2,8"
"Sup, tomat bisque, kalengan, disiapkan dengan air volume yang sama","87,17",50,"0,92","1,02","9,60",16,24,"0,027","0,029","2,4"
"Sup, tetesan telur, restoran Cina","92,87",27,"1,16","0,61","4,29",7,15,"0,019","0,019","6,5"
"Sup, Swanson, Kaldu Sayur","97,92",6,"0,23","0,07","1,02",3,3,"0,020","0,015","0,4"
"Sup, Swanson, Kaldu Sapi, Natrium Rendah","98,00",6,"1,20","0,08","0,21",2,10,"0,020","0,085",0
"Sup, Swanson Kaldu Ayam 99% Bebas Lemak","98,10",4,"0,54","0,17","0,14",4,11,"0,007","0,021",0
"Sup, sup tiram, kalengan, kental","89,88",48,"1,72","3,13","3,32",18,39,"0,017","0,029","2,6"
"Sup, sup tiram, kalengan, disiapkan dengan susu volume yang sama","88,94",55,"2,51","3,24","3,99",68,66,"0,027","0,095","1,8"
"Sup, sup tiram, kalengan, disiapkan dengan air volume yang sama","94,86",24,"0,87","1,59","1,69",9,20,"0,009","0,015","1,3"
"Sup, sup sayur, kental, natrium rendah, disiapkan dengan air volume yang sama","91,35",33,"1,10","0,45","6,06",12,23,"0,055","0,046","0,4"
"Sup, sup krim ham kentang, chunky, siap saji, satu merek","85,30",80,"2,70","5,20","5,60",0,0,0,0,0
"Sup, sup jagung, chunky, siap saji, satu merek","82,10",99,"3,10","6,30","7,50",0,0,0,0,0
"Sup, stroganoff daging sapi, kalengan, gaya chunky, siap saji","79,90",98,"5,10","4,60","9,00",20,50,"0,040","0,090",0
"Sup, sirip ikan hiu, disiapkan restoran","90,13",46,"3,20","2,00","3,80",10,21,"0,027","0,039","0,1"
"Sup, sayuran vegetarian, kalengan, kental","84,91",59,"1,72","1,58","9,78",17,28,"0,044","0,037","1,2"
"Sup, sayuran vegetarian, kaleng, disiapkan dengan air volume yang sama","92,41",28,"0,86","0,79","4,89",10,14,"0,022","0,019","0,6"
"Sup, sayuran kalkun, kalengan, disiapkan dengan air volume yang sama","92,89",30,"1,28","1,26","3,58",7,17,"0,012","0,016",0
"Sup, sayuran dengan kaldu sapi, kalengan, kental","83,27",66,"2,42","1,56","10,70",14,32,"0,042","0,037","1,9"
"Sup, sayuran dengan kaldu sapi, kalengan, disiapkan dengan air volume yang sama","91,59",33,"1,21","0,78","5,35",9,16,"0,021","0,019","1,0"
"Sup, sayuran daging sapi, kalengan, kental, satu merek","86,00",53,"3,80","0,80","7,70",0,0,0,0,0
"Sup, sayur, kaleng, natrium rendah, kental","82,79",65,"2,20","0,90","12,11",20,45,"0,109","0,092","0,8"
"Sup, sayur daging sapi, kalengan, kental","83,69",63,"4,45","1,51","8,11",13,32,"0,029","0,039","1,9"
"Sup, sayur daging sapi, kalengan, disiapkan dengan air volume yang sama","91,80",31,"2,23","0,76","4,06",8,16,"0,015","0,020","1,0"
"Sup, sayur chunky, sodium dikurangi, kalengan, siap saji","86,91",50,"1,16","0,51","10,28",25,28,"0,050","0,100","0,7"
"Sup, sayur chunky, kalengan, siap saji","89,53",39,"1,14","0,36","7,90",18,29,"0,029","0,043","0,7"
"Sup, sayur ayam, kaleng, kental","85,52",61,"2,94","2,32","7,01",14,33,"0,036","0,046","0,8"
"Sup, sayur ayam, chunky, lemak berkurang, sodium dikurangi, siap saji, satu merek","89,50",40,"2,70","0,50","6,30",0,0,0,0,0
"Sup, sayur ayam dengan kentang dan keju, chunky, siap saji","87,90",65,"1,16","4,46","5,20",15,19,"0,015","0,017","4,0"
"Sup, Progresso, Jelai Sapi, Tradisional, Siap Disajikan","88,70",47,"2,71","1,00","6,69",12,44,"0,027","0,086","0,3"
"Sup, Pilihan Sehat, Sup Ayam dan Nasi, Kalengan","90,31",37,"2,53","0,55","5,71",15,0,0,0,"1,0"
"Sup, Pilihan Sehat Sup Ayam, Kalengan","89,73",41,"3,69","0,63","5,20",8,0,0,0,0
"Sup, pangsit, restoran Cina","91,18",32,"2,08","0,26","5,25",5,18,"0,024","0,016","0,7"
"Sup, panas dan asam, restoran Cina","90,65",39,"2,58","1,21","4,35",19,32,"0,026","0,031",0
"Sup, nasi tomat, kalengan, disiapkan dengan air volume yang sama","88,52",47,"0,82","1,06","8,54",11,13,"0,024","0,020","5,8"
"Sup, nasi tomat, kaleng, kental","77,13",93,"1,64","2,12","17,08",18,26,"0,048","0,039","11,5"
"Sup, nasi ayam, kalengan, chunky, siap saji","86,78",53,"5,11","1,33","5,41",14,30,"0,010","0,041","1,6"
"Sup, minestrone, kalengan, sodium dikurangi, siap saji","87,30",50,"2,00","0,80","9,00",20,34,"0,060","0,040","5,7"
"Sup, minestrone, kalengan, kental","82,95",68,"3,48","2,05","9,17",28,46,"0,044","0,036","0,9"
"Sup, minestrone, kalengan, disiapkan dengan air volume yang sama","91,33",34,"1,77","1,04","4,66",14,23,"0,022","0,018","0,5"
"Sup, minestrone, kalengan, chunky, siap saji","86,72",53,"2,13","1,17","8,64",25,46,"0,023","0,049","2,0"
"Sup, mie sapi, kalengan, disiapkan dengan air volume yang sama","92,16",34,"1,93","1,23","3,58",8,19,"0,028","0,024","0,2"
"Sup, mie ramen, rasa daging sapi, kering","6,56",441,"10,06","17,73","60,34",21,115,"0,479","0,258","0,6"
"Sup, mie ramen, rasa ayam, kering","6,50",439,"10,22","17,52","60,23",22,115,"0,433","0,254",0
"Sup, mie ramen, rasa apa saja, kering","6,52",440,"10,17","17,59","60,26",21,115,"0,448","0,255","0,3"
"Sup, mie ramen, dikeringkan, rasa apa saja, lemak dikurangi, natrium berkurang","12,08",350,"10,89","2,50","70,95",22,117,"0,582","0,410","1,2"
"Sup, mie kalkun, kalengan, disiapkan dengan air volume yang sama","92,99",28,"1,60","0,82","3,54",5,20,"0,030","0,026","0,1"
"Sup, mie daging sapi, kalengan, kental","84,42",67,"3,85","2,46","7,16",12,37,"0,055","0,047","0,3"
"Sup, mie ayam, natrium rendah, kalengan, siap saji","90,46",41,"3,29","1,34","3,84",11,42,"0,032","0,022","0,4"
"Sup, mie ayam, natrium rendah, kaleng, disiapkan dengan air volume yang sama","93,82",25,"1,27","0,95","2,95",6,17,"0,055","0,045",0
"Sup, mie ayam, kaleng, kental","88,20",48,"2,37","1,55","6,07",6,38,"0,079","0,070",0
"Sup, mie ayam, kaleng, disiapkan dengan air volume yang sama","94,17",24,"1,16","0,76","2,97",5,18,"0,039","0,034",0
"Sup, mie ayam, dikeringkan, campur, disiapkan dengan air","94,16",23,"0,84","0,55","3,67",2,12,"0,081","0,030",0
"Sup, mie ayam, dikeringkan, campur","4,94",377,"15,42","6,51","62,32",55,195,"0,575","0,381",0
"Sup, mie ayam chunky, kalengan, siap saji","89,88",41,"3,09","1,16","4,46",11,36,"0,018","0,020","0,4"
"Sup, lentil dengan ham, kalengan, siap saji","85,75",56,"3,74","1,12","8,16",17,74,"0,070","0,045","1,7"
"Sup, kubus kaldu ayam, dikeringkan, disiapkan dengan air","97,43",5,"0,39","0,12","0,62",5,5,"0,005","0,010",0
"Sup, krim udang, kaleng, kental","84,85",72,"2,22","4,14","6,53",14,26,"0,015","0,022",0
"Sup, krim udang, kaleng, disiapkan dengan susu rendah lemak dengan volume yang sama (2%)","87,11",61,"2,78","3,23","5,64",69,60,"0,028","0,107","0,1"
"Sup, krim udang, kaleng, disiapkan dengan air volume yang sama","92,38",36,"1,11","2,07","3,27",9,13,"0,008","0,011",0
"Sup, krim seledri, kalengan, kental","84,96",72,"1,32","4,46","7,03",32,30,"0,023","0,039","0,2"
"Sup, krim seledri, kalengan, disiapkan dengan susu volume yang sama","86,46",66,"2,29","3,91","5,86",75,61,"0,030","0,100","0,6"
"Sup, krim seledri, kalengan, disiapkan dengan air volume yang sama","92,27",37,"0,68","2,29","3,62",16,15,"0,012","0,020","0,1"
"Sup, krim sayur, dikeringkan, bubuk","2,90",446,"8,00","24,10","52,10",134,228,5.180,"0,450","16,6"
"Sup, krim kentang, kalengan, disiapkan dengan susu volume yang sama","86,67",60,"2,33","2,60","6,92",67,65,"0,033","0,095","0,5"
"Sup, krim kentang, kalengan, disiapkan dengan air volume yang sama","92,49",30,"0,72","0,97","4,70",8,19,"0,014","0,015",0
"Sup, krim kentang, kaleng, kental","82,00",74,"1,51","1,88","12,79",17,41,"0,028","0,029","0,2"
"Sup, krim jamur, natrium rendah, siap saji, kalengan","90,30",53,"1,00","3,70","4,53",19,20,"0,020","0,040","0,4"
"Sup, krim jamur, kalengan, disiapkan dengan susu rendah lemak dengan volume yang sama (2%)","87,04",65,"2,36","3,58","5,76",68,59,"0,026","0,104","0,1"
"Sup, krim jamur, kalengan, disiapkan dengan air volume yang sama","92,46",39,"0,66","2,59","3,33",7,12,"0,006","0,008",0
"Sup, krim jamur, kaleng, kental, natrium berkurang","87,26",52,"1,21","1,69","8,10",13,51,"0,042","0,192",0
"Sup, krim jamur, kaleng, kental","84,70",79,"1,35","5,30","6,80",12,24,"0,012","0,016",0
"Sup, krim bawang, kalengan, kental","81,00",88,"2,20","4,20","10,40",27,30,"0,040","0,060","1,0"
"Sup, Krim Bawang, Kaleng, Disiapkan dengan Susu Volume yang Sama","84,50",75,"2,74","3,78","7,40",72,62,"0,039","0,110","1,0"
"Sup, krim bawang, kaleng, disiapkan dengan air volume yang sama","90,50",44,"1,13","2,16","5,20",14,15,"0,021","0,031","0,5"
"Sup, krim ayam, kalengan, kental","82,75",90,"2,38","5,77","7,16",14,31,"0,013","0,046","0,1"
"Sup, krim ayam, kalengan, disiapkan dengan susu volume yang sama","84,83",77,"3,01","4,62","6,04",73,61,"0,030","0,104","0,5"
"Sup, krim ayam, kalengan, disiapkan dengan air volume yang sama","90,62",48,"1,41","3,02","3,80",14,15,"0,012","0,025","0,1"
"Sup, krim ayam, kaleng, kental, satu merek","81,40",99,"2,40","6,50","7,70",0,0,0,0,0
"Sup, krim ayam, kaleng, kental, natrium berkurang","85,80",58,"1,80","1,30","9,50",11,23,"0,005","0,022",0
"Sup, krim ayam, dikeringkan, campur, disiapkan dengan air","90,94",41,"0,68","2,04","5,11",29,37,"0,040","0,078","0,2"
"Sup, krim asparagus, kalengan, kental","84,05",69,"1,82","3,26","8,52",23,31,"0,043","0,062","2,2"
"Sup, krim asparagus, kalengan, disiapkan dengan susu volume yang sama","86,00",65,"2,55","3,30","6,61",70,62,"0,041","0,111","1,6"
"Sup, krim asparagus, kalengan, disiapkan dengan air volume yang sama","91,80",35,"0,94","1,68","4,38",12,16,"0,022","0,032","1,1"
"Sup, keju, kalengan, kental","81,69",82,"0,80","3,92","11,30",36,33,"0,013","0,105","0,2"
"Sup, keju, kalengan, disiapkan dengan susu volume yang sama","82,44",92,"3,77","5,80","6,47",115,100,"0,025","0,133","0,5"
"Sup, keju, kalengan, disiapkan dengan air volume yang sama","88,12",63,"2,19","4,24","4,26",57,55,"0,007","0,055",0
"Sup, keju brokoli, kalengan, kental, komersial","82,70",87,"2,10","5,30","7,70",41,42,"0,020","0,040","2,0"
"Sup, kalkun, chunky, kalengan, siap saji","86,37",57,"4,33","1,87","5,96",21,44,"0,015","0,045","2,7"
"Sup, kaldu, ikan, disiapkan di rumah","96,60",16,"2,26","0,81",0,3,56,"0,033","0,076","0,1"
"Sup, kaldu, daging sapi, disiapkan di rumah","95,89",13,"1,97","0,09","1,20",8,31,"0,033","0,091",0
"Sup, kaldu, ayam, disiapkan di rumah","92,15",36,"2,52","1,20","3,53",3,27,"0,035","0,085","0,2"
"Sup, kaldu sayur, siap disajikan","98,05",5,"0,24","0,07","0,93",3,3,"0,023","0,022","0,4"
"Sup, kaldu sapi, potong dadu, keringkan","3,30",170,"17,30","4,00","16,10",60,225,"0,200","0,240",0
"Sup, kaldu sapi, potong dadu, disiapkan dengan air","98,69",3,"0,21","0,08","0,25",4,3,"0,002","0,003",0
"Sup, kaldu sapi, kurang / dikurangi natrium, siap disajikan","98,01",6,"1,14","0,07","0,20",3,9,"0,016","0,073",0
"Sup, kaldu sapi, kaldu, consomme, disiapkan dengan volume air yang sama","96,24",12,"2,22",0,"0,73",4,13,"0,009","0,012","0,4"
"Sup, kaldu sapi atau kaldu, bubuk, kering","3,27",213,"15,97","8,89","17,40",60,320,"0,070","0,243",0
"Sup, kaldu sapi atau kaldu, bubuk, disiapkan dengan air","98,69",3,"0,21","0,08","0,25",4,3,"0,002","0,003",0
"Sup, kaldu kubus dan butiran, natrium rendah, kering","2,30",438,"16,70","13,89","64,88",187,166,"0,100","0,430","1,1"
"Sup, kaldu daging sapi kaldu dan consomme, kalengan, kental","94,76",11,"2,52",0,"0,32",7,26,"0,017","0,023","0,7"
"Sup, kaldu daging sapi atau kaldu, siap saji","97,55",7,"1,14","0,22","0,04",6,13,"0,002","0,021",0
"Sup, kaldu ayam, siap saji","97,81",6,"0,64","0,21","0,44",4,4,"0,021","0,059",0
"Sup, kaldu ayam, rendah sodium, kalengan","96,00",16,"2,00","0,60","1,20",4,30,0,"0,030",0
"Sup, kaldu ayam, kurang / dikurangi sodium, siap disajikan","97,32",7,"1,36",0,"0,38",8,18,"0,002","0,014","0,4"
"Sup, kaldu ayam, keringkan","2,50",198,"14,60","4,70","23,50",190,191,"0,190","0,380","1,0"
"Sup, kaldu ayam, kalengan, kental","91,96",31,"4,42","1,04","0,75",6,60,"0,006","0,046",0
"Sup, kaldu ayam, kalengan, disiapkan dengan air volume yang sama","95,95",16,"2,02","0,57","0,38",4,30,"0,004","0,029",0
"Sup, kaldu ayam atau kaldu, kering","2,27",267,"16,66","13,88","18,01",187,166,"0,100","0,430","1,1"
"Sup, kaldu ayam atau kaldu, dikeringkan, disiapkan dengan air","98,28",4,"0,28","0,23","0,30",6,3,"0,002","0,007",0
"Sup, kacang polong, pisahkan dengan ham, kalengan, kental","65,67",141,"7,68","3,28","20,81",16,159,"0,110","0,056","1,1"
"Sup, kacang polong, pisahkan dengan ham, kalengan, disiapkan dengan air volume yang sama","81,77",75,"4,08","1,74","11,05",9,84,"0,058","0,030","0,6"
"Sup, kacang polong, pisahkan dengan ham, kalengan, chunky, siap saji","80,95",77,"4,62","1,66","11,17",14,74,"0,048","0,039","2,9"
"Sup, kacang polong, natrium rendah, disiapkan dengan air volume yang sama","84,55",62,"3,20","1,09","9,88",12,47,"0,040","0,025","0,6"
"Sup, kacang polong, hijau, kalengan, kental","68,54",125,"6,54","2,23","20,18",21,95,"0,082","0,052","1,3"
"Sup, kacang polong, hijau, kalengan, disiapkan dengan volume air yang sama","84,55",61,"3,20","1,09","9,88",12,47,"0,040","0,025","0,6"
"Sup, kacang polong, hijau, kalengan, disiapkan dengan susu volume yang sama","77,93",94,"4,97","2,77","12,69",68,94,"0,061","0,105","1,1"
"Sup, kacang polong dengan ham, chunky, lemak berkurang, natrium berkurang, siap saji, satu merek","81,00",76,"5,20","1,10","11,30",0,0,0,0,"4,2"
"Sup, kacang polong dengan ham dan bacon, kalengan, kental, satu merek","65,40",140,"8,60","2,30","21,20",0,0,0,0,0
"Sup, kacang hitam, kalengan, kental","75,33",91,"4,83","1,32","15,42",35,75,"0,042","0,039","0,2"
"Sup, kacang hitam, kalengan, disiapkan dengan air volume yang sama","87,62",46,"2,42","0,66","7,71",19,38,"0,021","0,020","0,1"
"Sup, kacang dengan ham, kalengan, chunky, siap saji","78,63",95,"5,19","3,50","11,16",32,59,"0,060","0,060","1,8"
"Sup, kacang dengan frankfurters, kalengan, kental","67,70",142,"7,60","5,31","16,75",66,126,"0,083","0,049","0,7"
"Sup, kacang dengan frankfurters, kalengan, disiapkan dengan air volume yang sama","83,03",75,"3,99","2,79","8,80",35,66,"0,044","0,026","0,4"
"Sup, kacang dengan daging babi, kalengan, kental","70,17",129,"5,88","4,42","16,97",60,98,"0,065","0,025","1,2"
"Sup, kacang dengan daging babi, kalengan, disiapkan dengan air volume yang sama","85,35",63,"2,88","2,16","8,31",31,48,"0,032","0,012","0,6"
"Sup, kacang dengan bacon, kental, satu merek","70,90",117,"6,50","2,10","18,00",0,0,0,0,0
"Sup, kacang & ham, kalengan, sodium dikurangi, disiapkan dengan air atau siap saji","79,91",81,"4,19","1,03","13,66",38,13,"0,056","0,029","1,1"
"Sup, jelai daging sapi, siap disajikan","87,35",52,"2,81","0,96","7,94",11,50,"0,027","0,085","0,5"
"Sup, jamur dengan kaldu sapi, kalengan, kental","84,60",68,"2,51","3,21","7,41",8,29,"0,028","0,076","0,8"
"Sup, jamur dengan kaldu sapi, kalengan, disiapkan dengan air volume yang sama","92,08",35,"1,29","1,65","3,81",4,15,"0,014","0,039","0,4"
"Sup, jamur daging sapi, kalengan, kental","85,50",61,"4,60","2,40","5,20",4,29,"0,020","0,060",0
"Sup, jamur daging sapi, kalengan, disiapkan dengan air volume yang sama","92,60",30,"2,37","1,23","2,60",2,14,"0,016","0,023","1,9"
"Sup, jamur ayam, kalengan, kental","80,40",100,"1,61","4,84","11,95",23,22,"0,020","0,090",0
"Sup, jamur ayam, kalengan, disiapkan dengan air volume yang sama","90,00",54,"1,80","3,75","3,80",12,11,"0,010","0,046",0
